State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty
Alabama,,38.9,68.4,26.5,0.5,1.3,0,1.4,1.8,62.7,85.3,24.5,9.1,49.2,24.7,18
Congressional District 1 (115th Congress),AL,40,67.3,27.7,1,1.4,0,0.8,1.7,61.8,87,24,8.2,50.4,25.8,18
Congressional District 2 (115th Congress),AL,38.5,64.3,31.1,0.4,1.1,0,1.1,2,62.2,84.1,22.1,8.4,48.2,25.1,18.8
Congressional District 3 (115th Congress),AL,38.1,69.7,25.4,0.3,1.7,0,1,1.9,61.7,84,21.5,8.8,45.9,24.1,18.7
Congressional District 4 (115th Congress),AL,40.7,87.7,7,0.8,0.6,0.1,1.9,1.8,60.9,80.9,16.9,6.5,54.9,27.5,18.5
Congressional District 5 (115th Congress),AL,39.5,76.4,17.4,0.6,1.7,0.1,1.3,2.6,66,87.1,30.8,11.3,51.9,24.2,15
Congressional District 6 (115th Congress),AL,39.1,79.1,14.9,0.3,1.7,0,2.3,1.6,69.3,90,36,13.7,56.9,22.5,10.7
Congressional District 7 (115th Congress),AL,36.3,33.1,63.4,0.2,0.8,0,1.3,1.2,57,83.9,19.6,6.9,34.5,23.9,26.6
Alaska,,34.5,65.3,3.2,14.2,6.2,1.2,1.4,8.5,70.1,92.4,29,10.4,50.6,14.2,10.2
Congressional District 0 (115th Congress),AK,34.5,65.3,3.2,14.2,6.2,1.2,1.4,8.5,70.1,92.4,29,10.4,50.6,14.2,10.2
Arizona,,37.7,77.5,4.3,4.4,3.1,0.2,7,3.5,65.9,86.5,28.4,10.7,49.6,24.7,17
Congressional District 1 (115th Congress),AZ,37.6,65.2,2.3,23.3,1.6,0.2,3.8,3.6,56.8,85.9,24.1,9.7,50.6,30,20.9
Congressional District 2 (115th Congress),AZ,41.4,81.1,4,1.5,3,0.2,5.8,4.4,65.6,90.7,33.9,14.4,55.9,31.7,15.9
Congressional District 3 (115th Congress),AZ,31.8,70.8,4.6,4.3,1.8,0.1,14.8,3.6,62.1,75.8,16,5.4,46.1,19.6,22.5
Congressional District 4 (115th Congress),AZ,48.1,88.4,1.9,1.8,1.3,0.2,3.9,2.5,58.6,87,18.8,7,40.4,14.3,15
Congressional District 5 (115th Congress),AZ,38,85.1,3.1,1.1,4.6,0.2,2.7,3.1,72.4,92.9,35.3,12.5,44.6,20.4,9
Congressional District 6 (115th Congress),AZ,42.3,85.1,2.6,1.6,4.7,0.1,2.8,2.9,71.9,92.5,43.4,16.4,56.9,24.3,11.6
Congressional District 7 (115th Congress),AZ,29.7,62.5,9.9,2.8,2.5,0.2,18.3,3.8,62,68,13.9,4.6,48.9,23.6,31.1
Congressional District 8 (115th Congress),AZ,43.1,84.3,4.3,0.9,3.6,0.2,3.3,3.4,69.2,92,29.1,10.3,49.4,30,9.3
Congressional District 9 (115th Congress),AZ,33.5,75.2,5.7,2.8,5,0.3,7,4,73.1,89.3,37.7,14.3,50.8,25.2,17.5
Arkansas,,38.1,77.3,15.4,0.7,1.4,0.2,2.5,2.4,64.4,85.6,22,7.9,50.6,27.3,18.1
Congressional District 1 (115th Congress),AR,39.7,78,17.8,0.4,0.5,0.1,1,2.1,60.6,83.4,16,5.5,48.6,22.2,20
Congressional District 2 (115th Congress),AR,37.4,71.8,22.3,0.3,1.6,0.1,1.4,2.6,67.5,89.5,29.2,11,54.4,23.4,15.7
Congressional District 3 (115th Congress),AR,35.5,84.4,3,1.1,2.9,0.8,4.8,3.1,67.8,85.2,26.5,9.4,49.1,28.6,16.3
Congressional District 4 (115th Congress),AR,40.8,74.6,19.4,0.8,0.6,0,2.8,1.8,61,84.2,16.1,5.5,49.9,22.7,20.8
California,,36.5,60.6,5.8,0.7,14.1,0.4,13.7,4.7,66.8,82.5,32.6,12.2,46.8,24.8,15.1
Congressional District 1 (115th Congress),CA,42.3,86.1,1.5,1.9,2.8,0.2,2.9,4.7,59.4,89.6,24,8.4,49.8,27.1,17.9
Congressional District 2 (115th Congress),CA,44.3,80.1,1.4,2.2,3.7,0.2,7.4,5,67.6,90.5,40.7,16.2,54.7,23.7,12.7
Congressional District 3 (115th Congress),CA,35.2,66.1,6.2,1,11.2,0.5,8.8,6.2,62.3,83.7,24.7,9.4,57.1,26.5,15.6
Congressional District 4 (115th Congress),CA,44.6,85.2,1.3,1,5,0.2,2.9,4.4,65.7,93,32.7,11.3,38,20.7,9.7
Congressional District 5 (115th Congress),CA,40.2,64,6.4,1,11.1,0.5,11.2,5.9,70.2,87.1,31,10.3,48.1,25,11.3
Congressional District 6 (115th Congress),CA,34.4,52.4,12.6,0.8,15.6,1.4,10.2,7.1,64.4,84.1,27.7,9.6,49.8,22.3,21.2
Congressional District 7 (115th Congress),CA,38.7,64.2,7.3,0.6,15.5,0.8,4.3,7.2,66.9,90.1,33,11.1,30.1,22.4,12.2
Congressional District 8 (115th Congress),CA,34.2,76.5,7.9,1.4,3.1,0.3,6.2,4.6,57.3,82.8,16.4,6.3,35.9,20.9,20.6
Congressional District 9 (115th Congress),CA,35,54.4,8.9,0.6,14.5,0.6,11.3,9.6,62.4,80.2,19.8,6.2,55.2,23.7,16.8
Congressional District 10 (115th Congress),CA,34.6,72.5,3.3,0.7,6.9,0.7,10.7,5.3,63.1,79.5,17.3,5.3,59.2,20.5,15.3
Congressional District 11 (115th Congress),CA,39.7,61,8,0.4,13.8,0.5,10.1,6.2,69.4,88.1,43,16.1,52.7,26.4,10.6
