,State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty,district_x,colid,year,state,state_po,state_fips,state_cen,state_ic,office,district_y,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,percent votes,party_democrat,party_republican,inc_democrat,inc_republican,winner
0,Congressional District 1 (115th Congress),AL,0.4280442804428044,0.6418092909535452,0.41679389312977094,0.03879310344827586,1.4,0.0,0.013071895424836603,0.03461538461538462,0.4074074074074072,0.7835294117647056,0.24764890282131669,0.19344262295081965,50.4,0.43750000000000006,0.4041297935103244,1,AL1,2018,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,False,BRADLEY BYRNE,REPUBLICAN,False,TOTAL,153228,242617,False,20220331,False,0.6315633282086581,0,1,0,1,1
1,Congressional District 1 (115th Congress),AL,0.4280442804428044,0.6418092909535452,0.41679389312977094,0.03879310344827586,1.4,0.0,0.013071895424836603,0.03461538461538462,0.4074074074074072,0.7835294117647056,0.24764890282131669,0.19344262295081965,50.4,0.43750000000000006,0.4041297935103244,1,AL1,2018,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,False,ROBERT KENNEDY JR,DEMOCRAT,False,TOTAL,89226,242617,False,20220331,False,0.36776483098876006,1,0,0,1,0
2,Congressional District 2 (115th Congress),AL,0.37269372693726943,0.6051344743276283,0.4687022900763359,0.012931034482758622,1.1,0.0,0.019607843137254905,0.046153846153846156,0.41975308641975295,0.7152941176470586,0.2178683385579938,0.2,48.2,0.4131944444444446,0.42772861356932146,2,AL2,2018,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,False,MARTHA ROBY,REPUBLICAN,False,TOTAL,138879,226230,False,20220331,False,0.6138841002519559,0,1,0,1,1
3,Congressional District 2 (115th Congress),AL,0.37269372693726943,0.6051344743276283,0.4687022900763359,0.012931034482758622,1.1,0.0,0.019607843137254905,0.046153846153846156,0.41975308641975295,0.7152941176470586,0.2178683385579938,0.2,48.2,0.4131944444444446,0.42772861356932146,2,AL2,2018,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,False,TABITHA ISNER,DEMOCRAT,False,TOTAL,86931,226230,False,20220331,False,0.38425938204482163,1,0,0,1,0
4,Congressional District 3 (115th Congress),AL,0.3579335793357934,0.6711491442542787,0.38167938931297707,0.008620689655172414,1.7,0.0,0.017429193899782137,0.04230769230769231,0.404320987654321,0.7129411764705882,0.20846394984326022,0.21311475409836067,45.9,0.3784722222222224,0.4247787610619468,3,AL3,2018,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,False,MALLORY HAGAN,DEMOCRAT,False,TOTAL,83996,231915,False,20220331,False,0.36218442101632065,1,0,0,1,0
5,Congressional District 3 (115th Congress),AL,0.3579335793357934,0.6711491442542787,0.38167938931297707,0.008620689655172414,1.7,0.0,0.017429193899782137,0.04230769230769231,0.404320987654321,0.7129411764705882,0.20846394984326022,0.21311475409836067,45.9,0.3784722222222224,0.4247787610619468,3,AL3,2018,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,False,MIKE ROGERS,REPUBLICAN,False,TOTAL,147770,231915,False,20220331,False,0.6371731022141733,0,1,0,1,1
6,Congressional District 4 (115th Congress),AL,0.4538745387453875,0.89119804400978,0.10076335877862595,0.030172413793103453,0.6,0.00819672131147541,0.037037037037037035,0.038461538461538464,0.37962962962962954,0.6399999999999999,0.13636363636363635,0.1377049180327869,54.9,0.49652777777777785,0.41887905604719755,4,AL4,2018,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,False,LEE AUMAN,DEMOCRAT,False,TOTAL,46492,230969,False,20220331,False,0.20129108235304305,1,0,0,1,0
7,Congressional District 4 (115th Congress),AL,0.4538745387453875,0.89119804400978,0.10076335877862595,0.030172413793103453,0.6,0.00819672131147541,0.037037037037037035,0.038461538461538464,0.37962962962962954,0.6399999999999999,0.13636363636363635,0.1377049180327869,54.9,0.49652777777777785,0.41887905604719755,4,AL4,2018,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,False,ROBERT ADERHOLT,REPUBLICAN,False,TOTAL,184255,230969,False,20220331,False,0.7977477496980114,0,1,0,1,1
8,Congressional District 5 (115th Congress),AL,0.4095940959409594,0.7530562347188264,0.2595419847328244,0.021551724137931032,1.7,0.00819672131147541,0.02396514161220044,0.06923076923076923,0.537037037037037,0.7858823529411763,0.35423197492163017,0.2950819672131148,51.9,0.3819444444444445,0.31563421828908556,5,AL5,2018,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,False,MO BROOKS,REPUBLICAN,False,TOTAL,159063,260673,False,20220331,False,0.6102012866695055,0,1,0,1,1
9,Congressional District 5 (115th Congress),AL,0.4095940959409594,0.7530562347188264,0.2595419847328244,0.021551724137931032,1.7,0.00819672131147541,0.02396514161220044,0.06923076923076923,0.537037037037037,0.7858823529411763,0.35423197492163017,0.2950819672131148,51.9,0.3819444444444445,0.31563421828908556,5,AL5,2018,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,False,PETER JOFFRION,DEMOCRAT,False,TOTAL,101388,260673,False,20220331,False,0.38894707161846453,1,0,0,1,0
10,Congressional District 6 (115th Congress),AL,0.3948339483394834,0.7860635696821515,0.22137404580152673,0.008620689655172414,1.7,0.0,0.0457516339869281,0.03076923076923077,0.6388888888888886,0.8541176470588234,0.4357366771159875,0.3737704918032787,56.9,0.3229166666666667,0.18879056047197637,6,AL6,2018,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,False,DANNER KLINE,DEMOCRAT,False,TOTAL,85644,278328,False,20220331,False,0.30770889023023196,1,0,0,1,0
11,Congressional District 6 (115th Congress),AL,0.3948339483394834,0.7860635696821515,0.22137404580152673,0.008620689655172414,1.7,0.0,0.0457516339869281,0.03076923076923077,0.6388888888888886,0.8541176470588234,0.4357366771159875,0.3737704918032787,56.9,0.3229166666666667,0.18879056047197637,6,AL6,2018,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,False,GARY PALMER,REPUBLICAN,False,TOTAL,192542,278328,False,20220331,False,0.6917809203529649,0,1,0,1,1
12,Congressional District 7 (115th Congress),AL,0.2915129151291511,0.22371638141809294,0.9618320610687022,0.004310344827586208,0.8,0.0,0.02396514161220044,0.015384615384615385,0.2592592592592591,0.7105882352941175,0.17868338557993735,0.15081967213114755,34.5,0.37152777777777773,0.6578171091445427,7,AL7,2018,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,,False,TERRI SEWELL,DEMOCRAT,False,TOTAL,185010,189163,False,20220331,False,0.9780453894260506,1,0,1,0,1
13,Congressional District 0 (115th Congress),AK,0.22509225092250928,0.617359413202934,0.042748091603053436,0.6077586206896552,6.2,0.09836065573770493,0.026143790849673203,0.29615384615384616,0.6635802469135801,0.9105882352941177,0.3260188087774295,0.2655737704918033,50.6,0.034722222222222265,0.17404129793510317,0,AK0,2018,ALASKA,AK,2,94,81,US HOUSE,0,GEN,,False,ALYSE S GALVIN,DEMOCRAT,False,TOTAL,131199,282166,False,20220331,False,0.46497097453272185,1,0,0,1,0
14,Congressional District 0 (115th Congress),AK,0.22509225092250928,0.617359413202934,0.042748091603053436,0.6077586206896552,6.2,0.09836065573770493,0.026143790849673203,0.29615384615384616,0.6635802469135801,0.9105882352941177,0.3260188087774295,0.2655737704918033,50.6,0.034722222222222265,0.17404129793510317,0,AK0,2018,ALASKA,AK,2,94,81,US HOUSE,0,GEN,,False,DON YOUNG,REPUBLICAN,False,TOTAL,149779,282166,False,20220331,False,0.5308187379060553,0,1,0,1,1
15,Congressional District 1 (115th Congress),AZ,0.3394833948339484,0.6161369193154035,0.029007633587786255,1.0,1.6,0.01639344262295082,0.0784313725490196,0.1076923076923077,0.2530864197530862,0.7576470588235296,0.24921630094043895,0.2426229508196721,50.6,0.5833333333333335,0.4896755162241887,1,AZ1,2018,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,,False,TOM O'HALLERAN,DEMOCRAT,False,TOTAL,143240,266089,False,20220331,False,0.538316127310787,1,0,1,0,1
16,Congressional District 1 (115th Congress),AZ,0.3394833948339484,0.6161369193154035,0.029007633587786255,1.0,1.6,0.01639344262295082,0.0784313725490196,0.1076923076923077,0.2530864197530862,0.7576470588235296,0.24921630094043895,0.2426229508196721,50.6,0.5833333333333335,0.4896755162241887,1,AZ1,2018,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,,False,WENDY ROGERS,REPUBLICAN,False,TOTAL,122784,266089,False,20220331,False,0.4614395935194615,0,1,1,0,0
17,Congressional District 2 (115th Congress),AZ,0.4797047970479704,0.8105134474327628,0.0549618320610687,0.0603448275862069,3,0.01639344262295082,0.12200435729847495,0.13846153846153847,0.5246913580246912,0.8705882352941177,0.4028213166144201,0.39672131147540984,55.9,0.6423611111111112,0.34218289085545717,2,AZ2,2018,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,,False,ANN KIRKPATRICK,DEMOCRAT,False,TOTAL,161000,294152,False,20220331,False,0.5473360711468901,1,0,0,1,1
18,Congressional District 2 (115th Congress),AZ,0.4797047970479704,0.8105134474327628,0.0549618320610687,0.0603448275862069,3,0.01639344262295082,0.12200435729847495,0.13846153846153847,0.5246913580246912,0.8705882352941177,0.4028213166144201,0.39672131147540984,55.9,0.6423611111111112,0.34218289085545717,2,AZ2,2018,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,,False,LEA MARQUEZ PETERSON,REPUBLICAN,False,TOTAL,133083,294152,False,20220331,False,0.45242935625118985,0,1,0,1,0
19,Congressional District 3 (115th Congress),AZ,0.1254612546125462,0.6845965770171148,0.06412213740458014,0.1810344827586207,1.8,0.00819672131147541,0.318082788671024,0.1076923076923077,0.4166666666666665,0.5199999999999998,0.12225705329153608,0.10163934426229511,46.1,0.22222222222222227,0.5368731563421828,3,AZ3,2018,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,,False,"NICOLAS ""NICK"" PIERSON",REPUBLICAN,False,TOTAL,64868,179518,False,20220331,False,0.3613453804075357,0,1,1,0,0
20,Congressional District 3 (115th Congress),AZ,0.1254612546125462,0.6845965770171148,0.06412213740458014,0.1810344827586207,1.8,0.00819672131147541,0.318082788671024,0.1076923076923077,0.4166666666666665,0.5199999999999998,0.12225705329153608,0.10163934426229511,46.1,0.22222222222222227,0.5368731563421828,3,AZ3,2018,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,,False,RAUL GRIJALVA,DEMOCRAT,False,TOTAL,114650,179518,False,20220331,False,0.6386546195924643,1,0,1,0,1
21,Congressional District 4 (115th Congress),AZ,0.7269372693726937,0.899755501222494,0.022900763358778626,0.07327586206896552,1.3,0.01639344262295082,0.08061002178649238,0.06538461538461539,0.3086419753086418,0.7835294117647056,0.16614420062695928,0.15409836065573773,40.4,0.03819444444444453,0.31563421828908556,4,AZ4,2018,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,,False,DAVID BRILL,DEMOCRAT,False,TOTAL,84521,277035,False,20220331,False,0.3050914144422185,1,0,0,1,0
22,Congressional District 4 (115th Congress),AZ,0.7269372693726937,0.899755501222494,0.022900763358778626,0.07327586206896552,1.3,0.01639344262295082,0.08061002178649238,0.06538461538461539,0.3086419753086418,0.7835294117647056,0.16614420062695928,0.15409836065573773,40.4,0.03819444444444453,0.31563421828908556,4,AZ4,2018,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,,False,HARYAKSHA GREGOR KNAUER,GREEN,False,TOTAL,3672,277035,False,20220331,False,0.013254642915155124,0,0,0,1,0
23,Congressional District 4 (115th Congress),AZ,0.7269372693726937,0.899755501222494,0.022900763358778626,0.07327586206896552,1.3,0.01639344262295082,0.08061002178649238,0.06538461538461539,0.3086419753086418,0.7835294117647056,0.16614420062695928,0.15409836065573773,40.4,0.03819444444444453,0.31563421828908556,4,AZ4,2018,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,,False,PAUL GOSAR,REPUBLICAN,False,TOTAL,188842,277035,False,20220331,False,0.6816539426426264,0,1,0,1,1
24,Congressional District 5 (115th Congress),AZ,0.35424354243542444,0.8594132029339854,0.04122137404580153,0.04310344827586207,4.6,0.01639344262295082,0.054466230936819175,0.08846153846153847,0.7345679012345678,0.9223529411764706,0.4247648902821317,0.3344262295081967,44.6,0.25000000000000006,0.13864306784660765,5,AZ5,2018,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,,False,ANDY BIGGS,REPUBLICAN,False,TOTAL,186037,313064,False,20220331,False,0.5942459049906729,0,1,0,1,1
25,Congressional District 5 (115th Congress),AZ,0.35424354243542444,0.8594132029339854,0.04122137404580153,0.04310344827586207,4.6,0.01639344262295082,0.054466230936819175,0.08846153846153847,0.7345679012345678,0.9223529411764706,0.4247648902821317,0.3344262295081967,44.6,0.25000000000000006,0.13864306784660765,5,AZ5,2018,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,,False,JOAN GREENE,DEMOCRAT,False,TOTAL,127027,313064,False,20220331,False,0.4057540950093272,1,0,0,1,0
26,Congressional District 6 (115th Congress),AZ,0.5129151291512914,0.8594132029339854,0.03358778625954199,0.06465517241379312,4.7,0.00819672131147541,0.05664488017429194,0.08076923076923077,0.7191358024691359,0.9129411764705879,0.5517241379310346,0.4622950819672131,56.9,0.3854166666666668,0.21533923303834804,6,AZ6,2018,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,,False,ANITA MALIK,DEMOCRAT,False,TOTAL,140559,313699,False,20220331,False,0.4480696463807663,1,0,0,1,0
27,Congressional District 6 (115th Congress),AZ,0.5129151291512914,0.8594132029339854,0.03358778625954199,0.06465517241379312,4.7,0.00819672131147541,0.05664488017429194,0.08076923076923077,0.7191358024691359,0.9129411764705879,0.5517241379310346,0.4622950819672131,56.9,0.3854166666666668,0.21533923303834804,6,AZ6,2018,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,,False,DAVID SCHWEIKERT,REPUBLICAN,False,TOTAL,173140,313699,False,20220331,False,0.5519303536192337,0,1,0,1,1
